"Date","Price"
"2017-01-24",51.65
"2017-01-25",51.45
"2017-01-26",51.26
"2017-01-27",50.74
"2017-01-30",51.04
"2017-01-31",51.16
"2017-02-01",50.77
"2017-02-02",51.23
"2017-02-03",51.48
"2017-02-06",51.3
"2017-02-07",51.75
"2017-02-08",52.06
"2017-02-09",52.53
"2017-02-10",52.24
"2017-02-13",52.29
"2017-02-14",52.69
"2017-02-15",52.63
"2017-02-16",53.11
"2017-02-17",53.26
"2017-02-21",54.25
"2017-02-22",54.35
"2017-02-23",54.26
"2017-02-24",54.68
"2017-02-27",54.31
"2017-02-28",54.4
"2017-03-01",54.29
"2017-03-02",54.5
"2017-03-03",54.41
"2017-03-06",54.07
"2017-03-07",53.99
"2017-03-08",54.11
"2017-03-09",54.04
"2017-03-10",54.29
"2017-03-13",54.2
"2017-03-14",54.4
"2017-03-15",54.9
"2017-03-16",54.87
"2017-03-17",54.76
"2017-03-20",54.72
"2017-03-21",54.88
"2017-03-22",55.07
"2017-03-23",54.88
"2017-03-24",54.9
"2017-03-27",54.83
"2017-03-28",55.21
"2017-03-29",55.34
"2017-03-30",55.52
"2017-03-31",55.58
"2017-04-03",55.51
"2017-04-04",55.63
"2017-04-05",55.47
"2017-04-06",55.29
"2017-04-07",55.76
"2017-04-10",55.93
"2017-04-11",55.95
"2017-04-12",56.53
"2017-04-13",56.16
"2017-04-17",56.46
"2017-04-18",56.86
"2017-04-19",56.72
"2017-04-20",56.93
"2017-04-21",56.94
"2017-04-24",57.15
"2017-04-25",57.18
"2017-04-26",57.06
"2017-04-27",56.84
"2017-04-28",56.95
"2017-05-01",56.67
"2017-05-02",56.76
"2017-05-03",56.7
"2017-05-04",57.23
"2017-05-05",57.35
"2017-05-08",57.24
"2017-05-09",57.26
"2017-05-10",57.45
"2017-05-11",57.34
"2017-05-12",57.16
"2017-05-15",57.66
"2017-05-16",57.25
"2017-05-17",57.24
"2017-05-18",58.07
"2017-05-19",58.35
"2017-05-22",58.59
"2017-05-23",58.67
"2017-05-24",58.87
"2017-05-25",59.35
"2017-05-26",59.42
"2017-05-30",59.44
"2017-05-31",59.49
"2017-06-01",59.97
"2017-06-02",60.04
"2017-06-05",60.31
"2017-06-06",59.84
"2017-06-07",59.72
"2017-06-08",59.3
"2017-06-09",59.47
"2017-06-12",59.49
"2017-06-13",59.61
"2017-06-14",60.03
"2017-06-15",59.68
"2017-06-16",58.43
"2017-06-19",58.64
"2017-06-20",58.86
"2017-06-21",58.92
"2017-06-22",58.31
"2017-06-23",58.34
"2017-06-26",58.6
"2017-06-27",58.4
"2017-06-28",58.69
"2017-06-29",58.15
"2017-06-30",58.16
"2017-07-03",58.05
"2017-07-05",58
"2017-07-06",58
"2017-07-07",58.07
"2017-07-10",57.03
"2017-07-11",56.95
"2017-07-12",57.41
"2017-07-13",57.53
"2017-07-14",58.21
"2017-07-17",58.22
"2017-07-18",58.19
"2017-07-19",58.17
"2017-07-20",58.28
"2017-07-21",58.65
"2017-07-24",58.74
"2017-07-25",59.34
"2017-07-26",59.68
"2017-07-27",59.99
"2017-07-28",59.78
"2017-07-31",59.84
"2017-08-01",59.79
"2017-08-02",59.7
"2017-08-03",60.01
"2017-08-04",59.92
"2017-08-07",60.35
"2017-08-08",60.37
"2017-08-09",60.51
"2017-08-10",60.14
"2017-08-11",60.09
"2017-08-14",60.59
"2017-08-15",60.95
"2017-08-16",61.06
"2017-08-17",60.43
"2017-08-18",60.08
"2017-08-21",60.41
"2017-08-22",60.4
"2017-08-23",60.18
"2017-08-24",59.37
"2017-08-25",59.35
"2017-08-28",59.07
"2017-08-29",59.38
"2017-08-30",59.35
"2017-08-31",59.38
"2017-09-01",59.51
"2017-09-05",59.96
"2017-09-06",60.18
"2017-09-07",60.39
"2017-09-08",59.41
"2017-09-11",59.68
"2017-09-12",59.63
"2017-09-13",59.55
"2017-09-14",59.42
"2017-09-15",59.82
"2017-09-18",59.75
"2017-09-19",59.61
"2017-09-20",59.49
"2017-09-21",59.09
